ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary
TKT-001,2024-02-05 11:14,General,Low,Resolved,3.7,7.8,AGT-03,4,Request for product documentation
TKT-002,2024-03-05 17:01,Billing,Low,Resolved,1.2,13.7,AGT-09,4,Incorrect charge on invoice
TKT-003,2024-02-13 12:09,Billing,High,Resolved,4.8,2.1,AGT-04,5,Unexpected fee on account
TKT-004,2024-03-09 09:59,Billing,High,Resolved,0.6,10.7,AGT-07,4,Subscription not activated after payment
TKT-005,2024-03-25 11:49,General,Low,Open,4.9,,AGT-05,,How to export data to CSV
TKT-006,2024-03-22 13:10,Technical,Low,Resolved,1.9,34.1,AGT-06,2,Dashboard not loading
TKT-007,2024-01-21 15:24,General,High,Open,4.9,,AGT-05,,Question about usage limits
TKT-008,2024-01-08 11:52,General,Medium,Resolved,4.1,22.1,AGT-01,4,Request for account deletion
TKT-009,2024-02-20 18:29,Billing,High,Resolved,1.5,3.9,AGT-03,4,Wrong plan charged
TKT-010,2024-01-18 16:31,Technical,Low,Open,3.8,,AGT-02,,Dashboard not loading
TKT-011,2024-03-28 14:38,General,Low,Resolved,2.0,15.1,AGT-02,4,Request for product documentation
TKT-012,2024-03-28 16:48,General,High,Resolved,3.9,2.7,AGT-05,1,Need help with onboarding
TKT-013,2024-03-05 09:55,General,High,Open,1.6,,AGT-11,,Question about usage limits
TKT-014,2024-01-21 16:49,Billing,Medium,Resolved,4.6,4.5,AGT-09,4,Unexpected fee on account
TKT-015,2024-03-13 09:05,Billing,Low,Resolved,2.5,37.7,AGT-12,2,Payment failed but amount deducted
TKT-016,2024-03-08 17:27,General,Low,Open,4.7,,AGT-04,,Question about usage limits
TKT-017,2024-03-26 18:23,General,Medium,Resolved,4.5,3.4,AGT-08,1,Question about usage limits
TKT-018,2024-01-10 18:03,General,Low,Resolved,0.5,26.6,AGT-04,3,Change notification preferences
TKT-019,2024-03-14 17:30,Billing,Medium,Open,4.0,,AGT-04,,Subscription not activated after payment
TKT-020,2024-02-25 13:27,Billing,Low,Open,2.4,,AGT-07,,Refund not processed
TKT-021,2024-02-13 09:15,Billing,Medium,Resolved,1.1,8.1,AGT-04,3,Refund not processed
TKT-022,2024-03-11 09:03,Technical,High,Open,5.0,,AGT-11,,API timeout errors in production
TKT-023,2024-03-03 15:13,Billing,Low,Resolved,4.5,76.1,AGT-07,5,Payment failed but amount deducted
TKT-024,2024-03-12 18:45,Technical,Medium,Resolved,0.9,14.7,AGT-08,4,Error 500 on checkout page
TKT-025,2024-03-02 16:58,Billing,Low,Escalated,1.0,,AGT-09,,Refund not processed
TKT-026,2024-01-09 18:55,Billing,Low,Open,2.1,,AGT-04,,Subscription not activated after payment
TKT-027,2024-03-20 09:26,General,Medium,Resolved,3.0,6.5,AGT-11,5,Question about usage limits
TKT-028,2024-03-26 18:19,Technical,Medium,Open,1.7,,AGT-08,,API timeout errors in production
TKT-029,2024-03-13 09:04,Billing,Medium,Resolved,1.2,21.4,AGT-09,5,Invoice not received
TKT-030,2024-03-10 12:39,Technical,Low,Resolved,2.7,45.0,AGT-11,2,Dashboard not loading
TKT-031,2024-01-14 16:09,Technical,Low,Resolved,1.6,34.2,AGT-05,5,Database connection timeout
TKT-032,2024-01-07 09:40,Technical,Low,Resolved,4.2,9.8,AGT-07,5,Dashboard not loading
TKT-033,2024-02-24 16:00,General,Medium,Open,0.6,,AGT-02,,Feature request: dark mode
TKT-034,2024-02-17 17:35,General,Low,Resolved,2.3,45.1,AGT-03,5,Request for product documentation
TKT-035,2024-02-01 18:06,Technical,Low,Open,3.9,,AGT-06,,SSL certificate issue
TKT-036,2024-01-31 10:51,General,High,Resolved,4.4,4.7,AGT-03,5,Question about usage limits
TKT-037,2024-03-30 09:24,Technical,Low,Resolved,4.3,24.3,AGT-01,3,Integration broken after version upgrade
TKT-038,2024-01-25 14:21,Billing,Low,Escalated,4.3,,AGT-05,,Unexpected fee on account
TKT-039,2024-02-21 18:53,Technical,Medium,Resolved,1.8,7.7,AGT-09,4,Data sync not working
TKT-040,2024-02-25 13:46,Billing,Low,Escalated,2.3,,AGT-06,,Refund not processed
TKT-041,2024-01-25 12:02,Technical,High,Resolved,2.3,8.6,AGT-12,5,Integration broken after version upgrade
TKT-042,2024-03-26 13:39,Technical,Medium,Resolved,3.4,13.2,AGT-06,4,Error 500 on checkout page
TKT-043,2024-03-11 10:12,Technical,High,Resolved,3.4,2.9,AGT-07,4,SSL certificate issue
TKT-044,2024-02-08 12:13,General,High,Open,4.0,,AGT-07,,Request for account deletion
TKT-045,2024-03-27 11:32,Technical,Medium,Escalated,4.0,,AGT-08,,Dashboard not loading
TKT-046,2024-03-06 18:40,General,Low,Open,1.8,,AGT-10,,Question about usage limits
TKT-047,2024-01-26 10:01,General,Medium,Resolved,1.4,3.6,AGT-01,4,Question about usage limits
TKT-048,2024-03-04 14:15,General,High,Resolved,3.3,9.5,AGT-03,2,How to add team members
TKT-049,2024-03-30 16:29,Billing,Low,Open,2.9,,AGT-01,,Refund not processed
TKT-050,2024-02-29 18:33,Technical,Low,Escalated,3.1,,AGT-09,,Webhook not triggering
TKT-051,2024-03-05 14:53,General,High,Resolved,2.3,6.0,AGT-09,5,Need help with onboarding
